Number;Sentence;Template;Keywords;A_F1_Lists;AV_F1_Lists;AudioScreening_F1;Linguistics_F1;Video;Audio;Linguistics;Video;;;;;;;Slope;Offset;Naturalness;Discomfort
120;Han havde ryddet op på tanken om natten;;ryddet, tanken, natten;;;;;;;;;;;;;;;;;;
121;Der var nogle eksperter der blandede sig i debatten;;eksperter, blandede, debatten;;;;;;;;;;;;;;;;;;
122;Vi er nervøse for om de vil aflyse spillet;;nervøse, aflyse, spillet;;;;;;;;;;;;;;;;;;
123;De bager faktisk kun rugbrød omkring jul;;bager, rugbrød, jul;;;;;;;;;;;;;;;;;;
124;Jeg spurgte dem om hvem der havde varetaget opgaven;;spurgte, varetaget, opgaven;;;;;;;;;;;;;;;;;;
125;Det er godt at næstformanden overtog kontrollen;;godt, næstformanden, kontrollen;;;;;;;;;;;;;;;;;;
126;Hver måned afsætter de tyve kilo kartofler;;måned, afsætter, kartofler;;;;;;;;;;;;;;;;;;
127;Damerne havde fulgt os helt hen til landsbyen;;damerne, fulgt, landsbyen;;;;;;;;;;;;;;;;;;
128;Han håber at vi efterlader vores halvdel på øen;;håber, halvdel, øen;;;;;;;;;;;;;;;;;;
129;Det var værten som pludselig forlod lejligheden;;værten, forlod, lejligheden;;;;;;;;;;;;;;;;;;
130;Han betragter ofte de andre bilister eller trafikken;;betragter, bilister, trafikken;;;;;;;;;;;;;;;;;;
131;Der er regioner der stadig tillader afstemninger;;regioner, tillader, afstemninger;;;;;;;;;;;;;;;;;;
132;Hun var meget seriøs mens retssagen foregik;;seriøs, retssagen, foregik;;;;;;;;;;;;;;;;;;
133;Dagbladet havde dokumenteret hele begivenheden;;dagbladet, dokumenteret, begivenheden;;;;;;;;;;;;;;;;;;
134;De så hvordan han bevægede sig med bolden;;så, bevægede, bolden;;;;;;;;;;;;;;;;;;
135;Det var specielt at en ingeniør havde forfattet et eventyr;;sært, ingeniør, eventyr;;;;;;;;;;;;;;;;;;
136;På søndag skal vi nok fordele alle rollerne;;søndag, fordele, rollerne;;;;;;;;;;;;;;;;;;
137;Hun kunne selvfølgelig forvandle mælk til smør;;forvandle, mælk, smør;;;;;;;;;;;;;;;;;;
138;De påpeger at de har orienteret deres købere;;påpeger, orienteret, købere;;;;;;;;;;;;;;;;;;
139;Det er en ide som kan fremme beskæftigelsen;;ide, fremme, beskæftigelsen;;;;;;;;;;;;;;;;;;
140;Vi burde kende både sproget og traditionerne;;kende, sproget, traditionerne;;;;;;;;;;;;;;;;;;
141;Der var en overlæge der smilede til min tante;;overlæge, smilede, tante;;;;;;;;;;;;;;;;;;
142;Vi er optimistiske selvom vores træner er stoppet;;optimistiske, træner, stoppet;;;;;;;;;;;;;;;;;;
143;Den lokale købmand lukkede tilbage i august;;købmand, lukkede, august;;;;;;;;;;;;;;;;;;
144;Jeg har sagt hvad han skal øve sig på inden koncerten;;sagt, øve, koncerten;;;;;;;;;;;;;;;;;;
145;Det er unikt at en film kan udløse så meget glæde;;unikt, film, glæde;;;;;;;;;;;;;;;;;;
146;På onsdag skal jeg ud og handle med en veninde;;onsdag, handle, veninde;;;;;;;;;;;;;;;;;;
147;Han udviste altid respekt for sine konkurrenter;;udviste, respekt, konkurrenter;;;;;;;;;;;;;;;;;;
148;De omtalte heldigvis at vi har øget omsætningen;;omtalte, øget, omsætningen;;;;;;;;;;;;;;;;;;
149;Det var en amerikaner som havde glemt frugterne;;amerikaner, glemt, frugterne;;;;;;;;;;;;;;;;;;
150;Hun forlanger altid salt og fisk til sin fødselsdag;;forlanger, salt, fødselsdag;;;;;;;;;;;;;;;;;;
151;Der er mange følelser der minder om kærlighed;;følelser, minder, kærlighed;;;;;;;;;;;;;;;;;;
152;Hun var meget kreativ da hun indrettede sit sommerhus;;kreativ, indrettede, sommerhus;;;;;;;;;;;;;;;;;;
153;Min bror havde faktisk allerede iført sig dragten;;bror, iført, dragten;;;;;;;;;;;;;;;;;;
154;Vi har beskrevet hvordan man kan følge med i sagen;;beskrevet, følge, sagen;;;;;;;;;;;;;;;;;;
155;Det var vanvittigt at parret bidrog med en hel million;;vanvittigt, bidrog, million;;;;;;;;;;;;;;;;;;
156;Efter pausen kan vi rette vores fokus mod fremtiden;;pausen, rette, fremtiden;;;;;;;;;;;;;;;;;;
157;Det vil medføre en gevinst for hele samfundet;;medføre, gevinst, samfundet;;;;;;;;;;;;;;;;;;
158;Vi fastslog at vi gerne vil hjælpe passagererne;;fastslog, hjælpe, passagererne;;;;;;;;;;;;;;;;;;
159;Det er kun pressen som anvender meningsmålingen;;pressen, anvender, meningsmålingen;;;;;;;;;;;;;;;;;;
160;De har muligvis skadet enten taget eller dørene;;skadet, taget, dørene;;;;;;;;;;;;;;;;;;
161;Der var en komponist der virkelig begejstrede kritikerne;;komponist, begejstrede, kritikerne;;;;;;;;;;;;;;;;;;
162;De bliver lykkelige når deres favorit scorer;;lykkelige, favorit, scorer;;;;;;;;;;;;;;;;;;
163;Redaktøren arbejdede meget under valgkampen;;redaktøren, arbejdede, valgkampen;;;;;;;;;;;;;;;;;;
164;Hun har besluttet hvordan vi skal sænke niveauet;;besluttet, sænke, niveauet;;;;;;;;;;;;;;;;;;
165;Det er rigtigt at kongressen vil påtage sig projektet;;rigtigt, påtage, projektet;;;;;;;;;;;;;;;;;;
166;I april skal vi igen levere asier til centeret;;april, levere, centeret;;;;;;;;;;;;;;;;;;
167;Den fyr der har lige solgt os noget elegant tøj;;fyr, solgt, tøj;;;;;;;;;;;;;;;;;;
168;Han havde accepteret at de forandrede spillet;;accepteret, forandrede, spillet;;;;;;;;;;;;;;;;;;
169;Det var en professor som demonstrerede teorien;;professor, demonstrerede, teorien;;;;;;;;;;;;;;;;;;
170;Jeg uddannede mig til pædagog efter folkeskolen;;uddannede, pædagog, folkeskolen;;;;;;;;;;;;;;;;;;
171;Der er få mennesker der argumenterer imod unionen;;mennesker, argumenterer, unionen;;;;;;;;;;;;;;;;;;
172;Vi er forsigtige selvom vi selv har forfattet kontrakten;;forsigtige, forfattet, kontrakten;;;;;;;;;;;;;;;;;;
173;Ugebladet citerede ham for den bemærkning;;ugebladet, citerede, bemærkning;;;;;;;;;;;;;;;;;;
174;Han kan mærke hvor hånden berører nettet;;mærke, hånden, nettet;;;;;;;;;;;;;;;;;;
175;Det var lidt sjovt at skyen lignede en bamse;;sjovt, lignede, bamse;;;;;;;;;;;;;;;;;;
176;Hver aften gentager han de samme replikker;;aften, gentager, replikker;;;;;;;;;;;;;;;;;;
177;En konsulent har hjulpet hende med statistikken;;konsulent, hjulpet, statistikken;;;;;;;;;;;;;;;;;;
178;Vi vil gerne fejre at vi skal på ferie i morgen;;fejre, ferie, morgen;;;;;;;;;;;;;;;;;;
179;Det er en konkurrence som tiltrækker mange ryttere;;konkurrence, tiltrækker, ryttere;;;;;;;;;;;;;;;;;;
180;Hun kan godt fremstå lidt kølig eller formel i starten;;fremstå, kølig, starten;;;;;;;;;;;;;;;;;;
181;Der var flere lande der søgte en alliance;;lande, søgte, alliance;;;;;;;;;;;;;;;;;;
182;Hun var meget social når hun opholdt sig i provinsen;;social, opholdt, provinsen;;;;;;;;;;;;;;;;;;
183;Beboerne befinder sig egentlig godt i deres lejligheder;;beboerne, befinder, lejligheder;;;;;;;;;;;;;;;;;;
184;Jeg har hørt hvorfor han isolerede sit sommerhus;;hørt, isolerede, sommerhus;;;;;;;;;;;;;;;;;;
185;Det er fint at ministeren kan inspirere landsholdet;;fint, ministeren, landsholdet;;;;;;;;;;;;;;;;;;
186;I juli stod han selv for rengøringen i hjemmet;;stod, rengøringen, hjemmet;;;;;;;;;;;;;;;;;;
187;De måtte faktisk bære skrivebordet helt hen til kirken;;bære, skrivebordet, kirken;;;;;;;;;;;;;;;;;;
188;Vi nød selvfølgelig at de behandlede os som konger;;nød, behandlede, konger;;;;;;;;;;;;;;;;;;
189;Det var en avis som ville begrænse sit forbrug;;avis, begrænse, forbrug;;;;;;;;;;;;;;;;;;
190;Han havde gennemstegt og krydret bøfferne;;gennemstegt, krydret, bøfferne;;;;;;;;;;;;;;;;;;
191;Der er et par der har udarbejdet nogle huskeregler;;par, udarbejdet, huskeregler;;;;;;;;;;;;;;;;;;
192;Han var bange for at vi slukkede for hans mobiltelefon;;bange, slukkede, mobiltelefon;;;;;;;;;;;;;;;;;;
193;I burde nok drøfte ordningen med en dommer;;drøfte, ordningen, dommer;;;;;;;;;;;;;;;;;;
194;Han erkendte at han måtte udsætte arrangementet;;erkendte, udsætte, arrangementet;;;;;;;;;;;;;;;;;;
195;Det var sært at alle stjernerne lød så almindelige;;sært, lød, almindelige;;;;;;;;;;;;;;;;;;
196;Hver eneste dag løfter de en hel masse kasser;;dag, løfter, kasser;;;;;;;;;;;;;;;;;;
197;Brugerne kan henvende sig til vores afdeling;;brugerne, henvende, afdeling;;;;;;;;;;;;;;;;;;
198;Hun har demonstreret at hun kan styre centeret;;demonstreret, styre, centeret;;;;;;;;;;;;;;;;;;
199;Det er et hold som kan ændre superligaen;;hold, ændre, superligaen;;;;;;;;;;;;;;;;;;
200;Det kan ende med en førsteplads eller en andenplads;;ende, førsteplads, andenplads;;;;;;;;;;;;;;;;;;
201;Der var en flok der gik rundt på vores marker;;flok, gik, marker;;;;;;;;;;;;;;;;;;
202;Hun er dygtig fordi hun selv kunne løse problemet;;dygtig, løse, problemet;;;;;;;;;;;;;;;;;;
203;Han har endelig fundet glæden i hverdagen;;fundet, glæden, hverdagen;;;;;;;;;;;;;;;;;;
204;Vi styrer selv hvordan vi foretager målingerne;;styrer, foretager, målingerne;;;;;;;;;;;;;;;;;;
205;Det er flot at det her initiativ overhovedet eksisterer;;flot, initiativ, eksisterer;;;;;;;;;;;;;;;;;;
206;I september skal vi nok standse byggeriet;;september, standse, byggeriet;;;;;;;;;;;;;;;;;;
207;Deres indsats sikrede dem et nyt mandat;;indsats, sikrede, mandat;;;;;;;;;;;;;;;;;;
208;Jeg forventer at de renser cyklerne inden etapen;;forventer, cyklerne, etapen;;;;;;;;;;;;;;;;;;
209;Det var nemlig fodbold som forenede alle tilskuerne;;fodbold, forenede, tilskuerne;;;;;;;;;;;;;;;;;;
210;Han havde fortjent både gevinsten og gaverne;;fortjent, gevinsten, gaverne;;;;;;;;;;;;;;;;;;
211;Der er en landmand der uddeler gratis æbler;;landmand, uddeler, æbler;;;;;;;;;;;;;;;;;;
212;Han var for hurtig da han planlagde turneringen;;hurtig, planlagde, turneringen;;;;;;;;;;;;;;;;;;
213;Min ven arbejder stadigvæk på et landbrug;;ven, arbejder, landbrug;;;;;;;;;;;;;;;;;;
214;Vi skal tælle hvor mange rækker de markerer;;tælle, rækker, markerer;;;;;;;;;;;;;;;;;;
215;Det var klart at bordene tilhørte arbejdspladsen;;klart, bordene, arbejdspladsen;;;;;;;;;;;;;;;;;;
216;I morgen vil de åbenbart forstærke gulvet;;morgen, forstærke, gulvet;;;;;;;;;;;;;;;;;;
217;Selskabet har faktisk publiceret otte bøger;;selskabet, publiceret, bøger;;;;;;;;;;;;;;;;;;
218;Hun syntes at vi skulle variere spørgsmålene;;syntes, variere, spørgsmålene;;;;;;;;;;;;;;;;;;
219;Det er kun lønnen som begejstrer vores lektor;;lønnen, begejstrer, lektor;;;;;;;;;;;;;;;;;;
220;Hun dukkede pludselig op med et glas og en øl;;dukkede, glas, øl;;;;;;;;;;;;;;;;;;
221;Der er ret mange dansere der går til badminton;;dansere, går, badminton;;;;;;;;;;;;;;;;;;
222;Hun er stolt fordi vi reklamerer for hendes galleri;;stolt, reklamerer, galleri;;;;;;;;;;;;;;;;;;
223;Vi vil først spørge vores nabo om ændringerne;;spørge, nabo, ændringerne;;;;;;;;;;;;;;;;;;
224;Jeg kan selv vælge hvem der skal lede mit firma;;vælge, lede, firma;;;;;;;;;;;;;;;;;;
225;Det er godt at de vil lytte til vores klager;;godt, lytte, klager;;;;;;;;;;;;;;;;;;
226;I september må man igen ride i anlægget;;september, ride, anlægget;;;;;;;;;;;;;;;;;;
227;Borgmesteren tilbød os heldigvis et alternativ;;borgmesteren, tilbød, alternativ;;;;;;;;;;;;;;;;;;
228;De har afvist at de vil uddele flere biler lige nu;;afvist, uddele, biler;;;;;;;;;;;;;;;;;;
229;Det var hans synspunkter som tiltalte min veninde;;synspunkter, tiltalte, veninde;;;;;;;;;;;;;;;;;;
230;De ville rykke kampen til om eftermiddagen;;rykke, kampen, eftermiddagen;;;;;;;;;;;;;;;;;;
231;Der er en skuespiller der henviser til min hjemmeside;;skuespiller, henviser, hjemmeside;;;;;;;;;;;;;;;;;;
232;Han blev populær da hans forslag reddede regeringen;;populær, forslag, regeringen;;;;;;;;;;;;;;;;;;
233;Han har skiftet til et gymnasium tæt ved sin bolig;;skiftet, gymnasium, bolig;;;;;;;;;;;;;;;;;;
234;De har beregnet hvordan vi kan opnå en højere fart;;beregnet, opnå, fart;;;;;;;;;;;;;;;;;;
235;Det var spændende at de åbnede for telefonerne;;spændende, åbnede, telefonerne;;;;;;;;;;;;;;;;;;
236;Efter nogle minutter havde vi vænnet os til situationen;;minutter, vænnet, situationen;;;;;;;;;;;;;;;;;;
237;Forlaget havde lovet hende en solid indtægt;;forlaget, lovet, indtægt;;;;;;;;;;;;;;;;;;
238;Han tilgav at de havde tegnet på hans skærm;;tilgav, tegnet, skærm;;;;;;;;;;;;;;;;;;
239;Det er reklamer som opretholder vores økonomi;;reklamer, opretholder, økonomi;;;;;;;;;;;;;;;;;;
240;Hun efterlyste mere velfærd og mere demokrati;;efterlyste, velfærd, demokrati;;;;;;;;;;;;;;;;;;
241;Der var en gruppe der straks forlod biografen;;gruppe, forlod, biografen;;;;;;;;;;;;;;;;;;
242;Jeg var færdig da jeg nåede til den femte kilometer;;færdig, nåede, kilometer;;;;;;;;;;;;;;;;;;
243;Han havde tegnet ansigter på alle maskinerne;;tegnet, ansigter, maskinerne;;;;;;;;;;;;;;;;;;
244;Hun fastsætter hvordan vi skal binde buketterne;;fastsætter, binde, buketterne;;;;;;;;;;;;;;;;;;
245;Det er smukt at de gerne vil yde en større hjælp;;smukt, yde, hjælp;;;;;;;;;;;;;;;;;;
